ID,Label,Feature type,Description
NCG15553,Twin Poplars,Point of interest,"mound and trees 4 mi. N of Lenoir, central Caldwell County. According to local tradition, the Cherokee and Catawba Indians fought there for almost a week, until they became exhausted. They then made a pact declaring that thereafter, the two tribes would live in peace. As a token, they constructed a mound of rocks and tied two young poplar trees together. The trees, now giants of the forest, stand approx. 12 ft. apart at the base, and approx. 20 ft. above the ground they join to form a single tree."
NCG15554,Twin Springs,Spring,springs near Cedar Knob in SE Buncombe County; the source of a small unnamed stream that flows NW into Grassy Creek.
NCG15629,Upper Flats,Area,"area of stony loam in NW Swain County on Greer Branch covering approx. 1.45 sq. mi.; level except the E end, which is hilly from N to S."
NCG15659,Vade Mecum,Business or business district,"former resort and present Episcopal Church summer camp at the junction of Vade Mecum Creek and South Double Creek in W Stokes County. Alt. 1,800. Local mineral springs accredited with curative powers by Saura Indians; about 1860 the site was acquired by Sparks family, circus operators, who built a resort hotel. It was later acquired by the Episcopal Church. Name from Latin phrase meaning ""go with me,"" attributed to an Indian legend involving a planned elopement."
NCG15661,Val Dor,Post office,"former rural post office, 1904-1905, located in a country store on the headwaters of Silver Creek in SW Burke County. Probably named for a gold mine on the Hodge plantation approx. 1 mi. away."
NCG15700,Vaughan Hill,Elevation,"an elevation on the Fort Bragg Military Reservation, NW Cumberland County."
NCG15701,Vaughan's Springs,Business or business district,"SE Surry County, mineral springs resort developed by the Gid Y. Vaughan family in the early twentieth century; in recent years, the site of Camp Wilson, a private summer camp for boys."
NCG15711,Vera Cruz Shoal,Shoal,"NE Carteret County, partly obstructs Ocracoke Inlet. Known during the eighteenth century as Dry Sand Shoal for the fact that it was never covered by water except during a hurricane."
NCG15737,Virginia,District,"the name applied to the American territory granted by Queen Elizabeth to Walter Raleigh and explored in 1584 by Philip Amadas and Arthur Barlowe. The earliest evidence of the use of the name occurs before March 25, 1585, in Raleigh's seal as Lord and Governor of Virginia, which is now in the British Museum. The name honored Elizabeth, the ""Virgin Queen,"" and was applied in the sixteenth century to the area explored from bases on Roanoke Island. In the seventeenth century, it came to be applied to the permanent settlement around Jamestown, and, after the granting of the Carolina Charter in 1663, it no longer was applied correctly to the territory that was soon to become North Carolina. See also South Virginia."
NCG15748,W. Kerr Scott Reservoir,Body of water,"SW Wilkes County on Yadkin River. Formed by a dam completed in 1962. Covers 1,470 acres, with a shoreline of 55 mi. Alt. 1,030. Named for William Kerr Scott (1896-1958), governor of North Carolina and U.S. senator. Constructed for flood control and public recreation."
NCG15753,Wachovia,District,"a tract of land laid off by the General Assembly in 1755 in NE Rowan County (now Forsyth) as an area for settlement by Moravians. The Parish of Dobbs was est. at the same time, coextensive with Wachovia. Wachovia, or Wachau-the-Aue (meadow land) along the Wach or Wack (principal stream), received its name from the fact that its water course and meadow land bore some resemblance to a valley in Austria of the same name that formerly belonged to the Zinzendorf family, prominent Moravian leaders. The parish was named Dobbs in honor of Governor Arthur Dobbs. See also Dobbs Parish."
NCG15806,Walkers Bluff,Elevation,on Cape Fear River in E Bladen County 5 mi. above White Hall Landing.
NCG15813,"Walks, The",Freshwater area,"series of immovable natural stepping stones below Flat Shoals of Watauga River near the Tennessee line in NW Watauga County. They are regularly placed across the river, and one may walk over them even when the stream is swollen, hence the name."
NCG15827,Walnut Bottom,Area,in NW Haywood County on Big Creek in Great Smoky Mountains National Park. Named for the fact that numerous walnut trees formerly grew in the narrow bottomland there.
NCG15847,Walter Slough,Waterway,"in the waters of Pamlico Sound NW of Oregon Inlet, E Dare County."
NCG15882,Warowtani,Native American settlement,"appears on the White map, 1585, as a village of the Weapemeoc Indians, located in what is now S Chowan County on Albemarle Sound near Edenton."
NCG15933,Watauga Settlement,Populated place,"began to develop in 1769 in what was then W North Carolina but is now Tennessee with the arrival of settlers on the Watauga and Nolichucky Rivers. A government was formed in 1772, and in 1776 its leaders asked to be annexed to North Carolina. The District of Washington, which see, was formed to include the Watauga Settlement. See also Franklin."
NCG15986,"Waxhaws, The",Region,"an area generally recognized as including much of Anson, Mecklenburg, and Union Counties in North Carolina and Chester, Lancaster, and York Counties in South Carolina. Catawba River forms the W limits. Waxhaw Creek flows through the area, forming what has been called ""a rich oasis in a region of pine barrens."" President Andrew Jackson was born in the area in 1767. The name came from the Waxhaw Indians of the region, whose chief village, Wisacky, was visited in 1670 by John Lederer."
NCG15995,Waynesborough,Populated place,"first county seat of Wayne County, est. 1787. The town died after the county seat was moved to Goldsboro in 1850. Waynesborough was located on land formerly owned by Andrew Bass, delegate to the Provincial Congress of 1775, at the SW edge of the present county seat on Neuse River. After 1847 many houses were moved from the old town to the new. The old courthouse, built by Col. William McKinne, was destroyed prior to 1917."
NCG15999,Weapemeoc,Native American settlement,"the principal town of the Weapemeoc Indians visited by Ralph Lane and fellow explorers in 1585-86, was near present-day Edenton, S Chowan County. The word was also the Indian name for Albemarle Sound and may be an Algonquian word for ""where shelter from the wind is sought."""
NCG16009,Weaverville Reservoir,Body of water,N Buncombe County on Ox Creek near Bull Mountain.
NCG16036,Weitzel's Mill,Mill,"site on Reedy Fork Creek, N central Guilford County. A skirmish occurred there on March 6, 1781, between American and British forces."
NCG16044,Welch's Bluff,Elevation,"appears on the Moseley map, 1733, on the W side of Cape Fear River in present Brunswick County between the mouth of Indian Creek and Eagle Island. Possibly named for James Welch, who owned land in the vicinity."
NCG16052,Wellington,Transportation,"name given the former Jacocks Landing on Cashie River, SE Bertie County, for a brief time when it was the S terminus of a short railroad. Wellington is shown on the 1892 Rand McNally map, as well as on the 1897 North Carolina Railroad Commission map. The Carolina Southern Railroad was inc. as the Wellington and Powellsville Railroad in 1893."
NCG16059,Welsh Tract,Area,"an area between the Northeast Cape Fear and Cape Fear Rivers, now largely in central Pender County, on which a number of Welsh families from Pennsylvania settled in 1730 and shortly afterward. The first grant was made in 1731 to David Evans for 640 acres. Apparently no single large block of land was granted to the Welsh; instead, individuals acquired their own land. Appears on the Moseley map, 1733, as Welch Settlement. Rev. Hugh McAden mentioned the Welsh Tract during his visit to the area in 1755, and the name was still in use in 1775. Persons other than those of Welsh descent soon moved into the area, and the tract lost its identity. About 1740 the Welsh laid out a town that became South Washington, which see."
NCG16062,Wentworth,Populated place,"county seat, central Rockingham County. Courthouse authorized to be est. 1787; first court held there 1799. Post office operated there, 1794-1827, as Rockingham Courthouse. Named for Charles Watson-Wentworth, Duke of Rockingham and prime minister of England when the Stamp Act was repealed; on March 9 and 17, 1778, Watson-Wentworth spoke on behalf of immediate recognition of the independence of the American colonies. Rockingham Community College, est. 1966, is there. Inc. 1998. Alt. approx. 900."
NCG16086,West Canton,Populated place,suburban area of the city of Canton in E Haywood County.
NCG16087,West Concord,Populated place,"unincorporated outskirts of city of Concord, central Cabarrus County."
NCG16115,West Hillsborough,Populated place,"unincorporated outskirts of town of Hillsborough, central Orange County."
NCG16134,West Rockingham,Populated place,"unincorporated outskirts of town of Rockingham, W Richmond County."
NCG16142,Western Cliffs,Mountain feature,E Macon County between Houston Branch and the head of Brush Creek.
NCG16164,Weymouth Woods Sandhills Nature Preserve,Reserve,"a 403-acre tract of forest land SE of Southern Pines, SE Moore County. Vegetation varies from dense hardwood swamp forest to open stands of longleaf pine. Given to the state of North Carolina by Katharine (Mrs. James) Boyd in 1963. Alt. 350 to 500 ft."
NCG16167,Whalebone,Business or business district,"commercial intersection on Bodie Island, E Dare County about 2½ mi. S of the town of Nags Head. Began around 1930 as intersection of then-existing sand trails and roads. Originally important commercial center. Named for whalebones in front of service station once located there. Also known as Whalebone Junction."
NCG16203,White Hall Landing,Transportation,in SE Bladen County on the Cape Fear River. An important early trading center.
NCG16216,White Oak Landing,Transportation,on the Cape Fear River in NW Bladen County.
NCG16233,White Rock Cliffs,Mountain feature,N Madison County at the head of White Rock Branch.
NCG16236,White Rocks,Mountain feature,SW Watauga County between Bench Mountain and the head of Boone Fork.
NCG16258,Whiteoak Bottoms,Area,SW Macon County between Kimsey Creek and Nantahala River.
NCG16304,Whitney Mines,Business or business district,former gold mine in NE Cabarrus County on Little Buffalo Creek.
NCG16322,Wickham Precinct,Precinct,"formed on December 3, 1705, from Bath County, was named for the manor of Temple Wycombe, the home of the Archdale family in Buckinghamshire, England. John Archdale had been governor in 1694-96. In 1712 Wickham Precinct became Hyde County, which see."
NCG16339,Wilcox Iron Works,Business or business district,"remains of a large stone blast furnace located at the foot of Ore Hill near Mount Vernon Springs, W central Chatham County. One of at least 3 ironworks built in the area by John Willcox (1728-93), ironmaster and landowner, during the Revolutionary era."
NCG16344,Wild Cat Rock,Mountain feature,a rugged precipice in SW Alleghany County near Doughton Park.
NCG16351,Wildcat Cliffs,Mountain feature,on the Jackson-Macon county line SE of Whiteside Mountain.
NCG16359,Wildcat Rock,Rock,W Henderson County at the head of South Fork.
NCG16386,Wilkins Bluff,Elevation,"S Onslow County, extends into New River."
NCG16409,Williams,Business or business district,"formerly an inc. town in E Yadkin County, the site now being in W Forsyth County. A whiskey distillery was operated at the site by the Williams family (who settled there about 1765) from shortly after the Revolution until 1908. On February 26, 1903, the General Assembly passed a bill prohibiting the operation of whiskey distilleries outside of inc. towns. On March 3, 1903, the town of Williams was inc. With the coming of statewide prohibition in 1908, the Williams distillery closed and the ""town"" ceased to exist."
NCG16456,Wilmington District,District,"at the time of the 1790 census, was composed of Bladen, Brunswick, Duplin, New Hanover, and Onslow Counties."
NCG16483,Wimble Shoals,Shoal,"in the Atlantic Ocean off the community of Salvo on Hatteras Island, E Dare County. The shoals are at the approx. site of the former Cape Kenrick, which see. They were charted and given the present name by James Wimble in, or shortly prior to, 1738."
NCG16497,Winding Stairs,Transportation,"section of road in NW Macon County between Queens Creek and the Macon-Swain county line; winds about 5 mi. down a ½ mi. drop and gives the appearance of winding stairs. Present road laid out about 1923 along a pioneer or Indian trail that, before the Civil War, was sometimes referred to as the Cat's Stairs."
NCG16522,Winston,Populated place,"formerly an independent city in central Forsyth County. Authorized by act of 1849 creating Forsyth County and named the county seat in 1851. Since 1913 it has been consolidated with Salem as Winston-Salem, which see. Named for Maj. Joseph Winston (1746-1814), Revolutionary War leader."
NCG16541,Wiseman's View,Elevation,"an overlook for Linville Gorge in NW Burke County. Named for William Wiseman, early settler who migrated from London in the eighteenth century."
NCG16568,Wolf Laurel Basin,Depression,depression between Fork Ridge and NW end of Horse Cove Ridge in W Graham County.
NCG16606,Wood's Ferry,Transportation,formerly crossed the Haw River in SE Alamance County approx. 2 mi. below Saxapahaw. Mentioned in local records prior to the Revolution.
NCG16640,Woodstock Savanna,Area,E Beaufort County between Pungo Creek and Pamlico River.
NCG16665,Worlds Edge,Elevation,"high bluff S of Chinquapin Gap, NW Polk County. Views to E extend 40 mi. to Forest City. Property, adjacent to Chimney Rock State Park tract, under conservation easement."
NCG16681,Wright Brothers National Memorial,Point of interest,"on N Bodie Island, E Dare County. Includes the Kill Devil Hills Monument National Memorial, the reconstructed Wright hangar and workshop, and visitor center. Occupies 314 acres."
NCG16701,Wykle Hill,Hill,N Macon County between the head of Hampton Branch and Queens Creek.
NCG16703,Wynn Ferry,Transportation,formerly in N Tyrrell County on Scuppernong River S of Columbia.
